year,instrument,volume,value,year_volume,year_value,volume_share,value_share
2019,Charge card,6.225045,13133550502.0,3062.5655759999995,1494320197680.9229,0.002032624231390499,0.008788980114424153
2019,Cheques,84.35732099999998,1267372432522.6301,3062.5655759999995,1494320197680.9229,0.02754465787151524,0.848126415268629
2019,Credit card,510.07607500000006,143791741242.00003,3062.5655759999995,1494320197680.9229,0.1665518867570528,0.09622552212380883
2019,Debit card,370.969791,52393821702.99999,3062.5655759999995,1494320197680.9229,0.1211303992662654,0.03506197787081472
2019,E-money,2090.9373439999995,17628651711.29269,3062.5655759999995,1494320197680.9229,0.6827404318737761,0.011797104622323305
2020,Charge card,3.343675,10252634119.0,2878.131814,1204503119835.93,0.001161751864086097,0.008511919936244375
2020,Cheques,59.85246899999999,980057532170.9299,2878.131814,1204503119835.93,0.02079559688992062,0.8136612649906855
2020,Credit card,489.311468,126995440272.0,2878.131814,1204503119835.93,0.1700100966953142,0.10543388238736862
2020,Debit card,497.939097,59502215120.00001,2878.131814,1204503119835.93,0.1730077457112602,0.04939980157801919
2020,E-money,1827.6851049999998,27695298153.999996,2878.131814,1204503119835.93,0.6350248088394189,0.022993131107682377
2021,Charge card,3.4402459999999997,10934888346.0,3452.464821,1175915349051.4902,0.0009964608412732614,0.009299043808570263
2021,Cheques,48.256921,898788692621.4902,3452.464821,1175915349051.4902,0.01397752721663431,0.7643311173261458
2021,Credit card,556.0278529999999,138179583753.0,3452.464821,1175915349051.4902,0.16105243118420756,0.11750810452849143
2021,Debit card,736.788481,78211958865.00002,3452.464821,1175915349051.4902,0.21340941014616643,0.06651155538371607
2021,E-money,2107.95132,49800225466.0,3452.464821,1175915349051.4902,0.6105641706117185,0.042350178953076474
2022,Charge card,5.351218000000001,14025384050.999998,5154.016085,1322630391085.1902,0.0010382617965772221,0.010604159820864593
2022,Cheques,46.144789,940963644970.1901,5154.016085,1322630391085.1902,0.008953171320962225,0.711433557940665
2022,Credit card,715.433537,177637930433.00003,5154.016085,1322630391085.1902,0.13881088556983034,0.1343065542953779
2022,Debit card,1200.410566,118820226041.00002,5154.016085,1322630391085.1902,0.23290780358517255,0.0898363041117712
2022,E-money,3186.675975,71183205590.0,5154.016085,1322630391085.1902,0.6182898777274577,0.053819423831321225
2023,Charge card,5.998517,15966384188.999996,6493.850444000001,1340185216855.61,0.000923722689909241,0.011913565370061977
2023,Cheques,40.850353,879492863245.61,6493.850444000001,1340185216855.61,0.006290621158013228,0.6562472501443548
2023,Credit card,825.172578,199888965224.0,6493.850444000001,1340185216855.61,0.1270698463286014,0.14915025379326788
2023,Debit card,1598.504252,138178935957.0,6493.850444000001,1340185216855.61,0.24615661629179333,0.10310435768064977
2023,E-money,4023.3247440000005,106658068240.00002,6493.850444000001,1340185216855.61,0.6195591935316828,0.07958457301166547
2024,Charge card,7.245063999999999,16487793107.000002,7988.9570140000005,1484587297995.7197,0.0009068848395733775,0.011105977485634893
2024,Cheques,39.923719000000006,932550388021.7198,7988.9570140000005,1484587297995.7197,0.004997363101345635,0.6281546321194569
2024,Credit card,928.1095799999999,216239403916.0,7988.9570140000005,1484587297995.7197,0.11617406106623969,0.145656240093079
2024,Debit card,1989.27774,155224179207.0,7988.9570140000005,1484587297995.7197,0.24900343518108206,0.10455712467469025
2024,E-money,5024.400911000001,164085533744.0,7988.9570140000005,1484587297995.7197,0.6289182558117592,0.11052602562713902
2025,Charge card,3.9696799999999994,8997679880.999998,4583.327891999999,735378417419.8198,0.0008661130282493872,0.012235441873001443
2025,Cheques,16.879068,412175229880.81995,4583.327891999999,735378417419.8198,0.0036827101175679975,0.5604940532889116
2025,Credit card,493.06943400000006,110465467444.99998,4583.327891999999,735378417419.8198,0.10757891331768592,0.15021581382899957
2025,Debit card,1142.8582259999998,83762341103.0,4583.327891999999,735378417419.8198,0.2493511817024502,0.113903725101006
2025,E-money,2926.551483999999,119977699109.99988,4583.327891999999,735378417419.8198,0.6385210818340464,0.1631509659080814
